Taher Zakaria
Darryl Gordon
Godalming & Guildford
Mattheiu Hommell
Aladeen Younes
Andreas Widhoelzl
Fahad Al-Dossari
Jouko Toermaenen
Ahmed Al-Hadrami
Adel Ahmed
Ismaeel Mohammad
Ibrahim Abdullah
Chaminade
Ali Hassan
Motaz Hawsawi
Ali Aloob
Amjed Barnawi
Raymond Caine, Sr.
Amer Abdulrahman
Shaya Ali Sharahili
Bill Wendt
Khaled Dakheel
Michael Geoffrey Risley
La Vie Claire
Hassan Al-Heji
Ibrahim Majid
Ezequiel Tejera
Mate Božić
Ali Al-Rasheed
Gianluca Cologna
er Bawab
Andreas Wellinger
Emerson
Fawaz Al-Sqoor
Hans Millonig
Sultan Al-Sherif
Carlos Adriano de Sousa Cruz
Abdulla Salem
Capt. James Deakins
Tawfiq Buhimed
Gonzalo Viera
Abdullah Al-Ahmadi
Hussain Abdullah
Shoaib Al Saeed
Abdelaziz Sanqour
Mohamad Faris Shah Rosli
Nawaf Abo Amer
UMass Lowell
Housain Al-Mogahwi
Franz Neulaendter
Rajab Hamza
Abbie Carmichael
Samuel Clare
Uzi Tayou
Marco Antonio Cortez
Carlos Villanueva (footballer)
Antoine Battut
Ali Rehema
Wycombe Wanderers
Madson Formagini Caridade
Ala Rishani
Miranda Žeravica
Castleford Tigers Squad
Ahmed Al-Sayyadi
Nevada
Rayan Al-Harbi
Delio Fernández
Thomas Diethart
Mohameed Ishak
Benfica do Huambo
Tirona Fanatics
Lee Woong-hee
Sultan Al-Hammadi
Adel Sebil
Rashed Al-Rezzi
Zdenka Gavran
Enad Al-Khalifah
Stéphane Gillet
Fahad Abdullah
Sharon Adamson
Eddie Anderson
Pablo Zeballos
Wheeling Jesuit
Hassan Al-Amri
Central Missouri
Gelmin Rivas
Ismail Mousa
Shin Mitsuzaki
Nasser Al-Enezi
Abdulaziz Al-Mufarrej
Khaled Al Zakiba
Det. Nola Falacci
Eisa Mohammed
Talal Khalvan
Samer Salem (footballer)
Muhamad Shyamierul Razmee Jasmi
Jon Inge Kjoerum
Lucas Galan
Ali Jokar
Marit Bjoergen
Mansoor Al-Harbi
Murry Bartow
Khaled Naseer
Nathan Otavio Ribeiro
Muhd Jafri Muhammad Firdaus Chew
Windsor & Eton
Ecuador
Musab Kheder
Madallah Alolayan
Kota Sugiyama
Sultan Al-Dossari
Maher Sharoumah
R. J. Allen
Omar Khribin
Mousa Assiri
Abdulrahman Al-Ghamdi (footballer, born 1994)
Eduardo Santos
Saoud Nasser
Fahad Al Shammari
Salem State University
Abdurahman Ali
Fahad Al-Munaif
Bander Nasser
Beverly Knight
Ali Faidh Itshi
Ibrahim Al-Telhi
Mohammed Qassem
Mohammed Al-Kowari
Metlaq Al-Shammeri
Nicolás Milesi
Det. Joe Fontana
Sultan Mendash
Ko Matsubara
Splashtown at Darien Lake
Talal Abdulla
Ahmed Al-Mubarak
Mansor Hamzi
Yaqoub Al Hosani
Peter Kolawole
Hamed Almass
Saleh Al-Ghanem
Saleh Rateb
Mubarak Salem
Michael "Mike" Cutter
Ali Sanad
Takuma Mizutani
Peterborough United
Meqdad Abo Eid
Jens Weissflog
Khaled Mohammed
Hamed Al-Sherif
Hassan Al-Majhad
Mohammed Helal
Pedro José Bouçoinha Nascimento Correia
Hamad Al-Hammadi
Jerod Haase
Fares Juma Al Saadi
Saoud Al-Harthi
Konstantin Mikautadze
Lourenço Calheiros Ponces de Arriaga
Hamad Al-Ahbabi
Omair Saeed
Andoni Iraola
Muhannad Assiri
Hatten Baratli
Betsy Barr
Kim Patrick
Abdullah Al-Yousef
Meftah Al Hamsal
Mohammad Malallah
Hideki Ishige
Saif Yousef
Lee McCarthy
Awadh Khamis
Abbas Adam
Mercatone Uno-Scanavino
Nevada Wolf Pack
Mohammed Jasser
Ariff Farhan Isa
Nick Falco
Reza Shanbih
Safwan Hawsawi
Mohammed Salam
Abdullah Marafee
Jeremy Bokila
Abdurahman Al-Jassem
Saad Hussain
Troy
Sissi (footballer)
Yasser Al-Qahtani
Khalifah Al-Ammari
Evan Bush
Abdelkarim Hassan
Chatteris Town
United States
Yousef Mohammed Omar
Captain Zoe Callas
Ahmed Akaïchi
José Miguel Escudeiro Aguiar Gouveia
Daniel Espantoso
Alan Flott
Lucas Silva (footballer)
South Carolina
Sultan Al-Shammeri
Maxime Chanot
Dayton Flyers
Ahmad Abbas
Bente Skari Martinsen
Mohamed Ismail Ahmed Ismail
Knowsley United
Khaled Khamis
Sveto Tepavac
Jawad Akeel
Rakan Al-Harbi
Višnja Došen
Mohammed Al-Robeai
Naby Soumah
Mohammed Hassan
Abdulelah Al-Fahad
Ashfield United
Miguel do Carmo Rato
Ali Madhali
Redbridge Forest
Hussain Ibrahim
Omar Al-Sonain
Mustafa Al-Bassas
Abdurahman Al-Dossari
Robbie Mertz
Alexandre Gomez
Ahmed Al-Mowallad
Gustavo César
Ahmed Abdulla Al Shamisi
Francisco Wagsley
Dario Cologna
Mousa Majid Al Allaq
Ibrahim Al-Khaldi
Haider Alaiwi
Det. Nina Cassady
Mohamed Al-Shehhi
Saoud Qern
Mohammed Fayez
Hiroshi Futami
Don Mirko Komadina
Monique Jeffries
Mohammad Al-Malki
Ahmed Al Saadi
Jamal Bajandouh
Ibrahim Barnawi
Masoud Bakhit
Iivo Niskanen
Yuki Uekusa
Gustavo Rodríguez (cyclist)
Abdurahman Al-Aamri
Sari Amr
Said Brahmi
Mohammed Arafah
Badrul Amin Rusalan
Hamad Al-Dossari
Hitchin Town
Khaled Ba Wazir
Khiry Shelton
Mustafa Jalal
Mohammed Al-Omran
Yang Han-been
Mississippi State Bulldogs
Hamad Al-Hosani
Claire Kincaid
Saad Khairi
Bandar Al-Enezi
Andi Tostanoski
Ahmed Al-Fraidi
Kim Jeong-hwan (footballer)
Faisel Al-Yami
Hatem Kamal
Abdulkareem Al Shammari
Ireland
France
Stefanie Boehler
Ahmed Al-Khodhair
Go Yo-han
Evi Sachenbacher Stehle
Takahiro Iida
Benjamin Fall
Marin Tomasov
Sayed Mohamed Adnan
Mesleh Al-Haydari
Jamal Jassem
Andrzej Stękała
Issam Al-Qarni
Nader Rajab
Omar Bari
Central Missouri Mules basketball
Takuma Edamura
Ahmed Rabee
Johan Olsson
Demetri Catrakilis
Abdullah Abdulqader
Conrad Ecklie
Saeed Al-Qarni
Serafín Martínez
Ismael Al-Maghrebi
Mohammed Razak
David Davies
Sami Bashir
Hassan Mohammed (footballer, born 1989)
Farid Al-Harbi
Thiago Neves
Sultan Al-Breki
Khaled Shamarikh
Hamad Al-Harbi
Abdullah Majrashi
Fulgence Ouedraogo
Marcos García
Miroslav Dvorak
Roberto Lima
Sebastián Tagliabué
Akapusi Qera
Ignacio Echeveste
Ali Lawgami
Jamal Al-Dhefiri
Abdullah Othman
Mohsen Al-Yazidi
Abdulaziz Hatem
Abdurahman Abubakar
Jefferson Mena
Yun Ju-tae
Hussain Al-Sherif
Ali Qadri
Dario Žeravica
Martin Mesik
Abdulaziz Rashid Al Ansari
Nazim B. Rajab
St. Bonaventure
Abdulaziz Al-Qahtani
Muhammad Syafiq Ahmad
Turki Al-Khodair
Ayel Haqawi
Pablo Olivera
Nuhayan Hareb
Abderrazak Hamdallah
Luís Leal (footballer)
Merritt Mathias
Ahmed Moein
U.S.
Baghdad Bounedjah
Rashed Al-Bishi
Ibrahim Madkhali
Abdulhadi Al-Harajin
Saoud Fallatah
Lars-Olof Sandberg
Mansor Sharahili
Douglas Da Silva
Hani Al-Owaidh
Aden Ali Aden
Robert Ehsan
Mounir El Hamdaoui
Mahmoud Saad (footballer, born 1983)
Abdullah Al-Hafith
Peter Utaka
Dave Leitao
Fahad Hamad
North Idaho Centennial Trail
Dr. Melinda Warner
Hans Karlsson
Bruno Uvini
Faisal Al-Merqeb
Mohamed Koffi
Yoshiaki Takagi
Juan Zúñiga
Mutaeb Sharahili
Dinesh a/l Rajasingam
Fawaz Aman
Mohsen Abdullah
Vincent Martin (rugby union)
Jassem Al-Mulla
Suhail Al-Mansoori
Kamel Al-Mor
Detroit
Mohammed Abousaban
Abdullah Al-Khalifah
Sultan Al Ghaferi
Vladimir Isaichev
Tresor Kangambu
Jassem Salem
Adetomiwa Adewole
Henrique Luvannor
Kristin Stoermer Steira
Waheed Ismail
UK
Tamer Saleh
Newbury College (United States)
Rami Fayez
Fernando Miguel Baptista Albuquerque
Abdulaziz Al Tawfiq
Fahad Al-Marri
US
Saud Kariri
Mostafa Al-Abbad
Burj Ali Maodah
Nassr Al-Din Ibrahim
Gail Striegler
Muhammad Danial Ashraf Abdullah
Sin Jin-ho
Nasser Masoud
Det. G. Lynn Bishop
Yousef Al-Salem
Khalid Abdulraouf
Johan Saetre.
DePaul Blue Demons
Abdurahman Najei
Mohammed Alaaeldin
Mohammed Al-Owais
Abdulmajeed Al-Sulayhem
Omar Ibrahim Hammad
Stephane Pierre (soccer)
Mosaab Mahmoud Al Hassan
Megan Rapinoe
Mousa Zoulan
Abdullah Al-Jabri
Daniel Goumou
Jasser Yahya
Abdurahman Al-Khaibari
Appalachian State
Turki Sufyani
Asamoah Gyan
Yousef Ramadan
Mark Ashby
Mousa Eisa
Mutaeb Assiri
Clark
Rok Benkovic
Anders Gloeersen
Davit Kubriashvili
Hussain Al-Radhi
Dawod Al-Mutawa
Sanad Al-Ameeri
Pedro Manuel Beja Pereira e Sousa
Kim Min-hyung
Andre Rawls
Omar Jumaa
Khaled Butti
Dominic Oduro
Rayan Yaslam
Nawaf Al-Sobhi
Naqa Al-Boqami
Mike Anderson
Murton Colliery Welfare
Naif Al-Ziyadi
Harry Shipp
Muhammad Najmuddin Samat
Jack Harrison (footballer, born 1996)
Jassem Mohammed Omar
Sigvard Schwartzmann
Ali Al-Hosani
Azzan Maqbol
Sebastijan Antić
Ahmed Al-Zaaq
Khaled Al-Ruwailli
Ahmed Al-Zein
Max Greevey
Talal Majrashi
Ayoub Mashhor
Bader Al-Qahtani
Saad Al-Aboud
Hamad Al-Jizani
Katja Visnar
Abdulateef Salah
Nic White
Eirik Johansen
Peter Hartmann
Fahad Essam
Connor Brandt
Khaled Tareq Bashir
Brunei Darussalam
Maurice Manificat
Rashed Al-Raheeb
Makoto Kakuda
Kota Kitagawa
Hussein Yasser
Seydou Keita
Dennis Runikera
Everaldo Stum
Elisabeth Röhm
Mohammed Al-Saiari
Diego Martínez (Argentinian footballer)
Abdulmalek Al-Khaibri
Ahmed Fadhel
Ahmed Kahil
Talal Al-Zahrani
Sara Žeravica
Frédéric Brillant
Abdullah Doshi
Walter Simmons
Jerry Richardson
Jan Ziobro
Fahad Dhafer
Carlos Castaño (cyclist)
Glossop North End
George Fochive
Tom Haggerty
Eruera Shelford
Yoo Hyun
Abdulhaleem Al-Amoudi
Sultan Al-Yami
Nicholas Van Hollen
Amir El Derdiri
Ahmed Al-Amer
Leytonstone Ilford
José Garcés
Southern Illinois
Saleh Al-Shehri
Ali Jumaa
Francisco José Pacheco
Xavi
Ahmad Ali Hatami
Eudes Dagoulou
Abdullah Aatef
Fahad Khalvan
Mohammed Sayed Al-Dhaw
Muhain Khalifah
Abdulaziz Al-Harqan
Javier Cerruti
Saif Al-Mohannadi
Humaid Al-Najar
Imoh Ezekiel
Omar Soto
Sim Woo-yeon
Sultan Al-Nemri
Ruud Boymans
Sultan Al Enezi
Lewes
Magnus H. Moan
Turki Al-Jalfan
Jaralla al-Marri (footballer)
Adel Al-Soudani
Mohammed Khalvan
Hamad Al-Obeidi
Sandro Manoel dos Santos
Cody Thomas (rugby union)
Hassan Al-Haidos
Abdullah Bo Homail
Nasser Ben Ahmed
Muaaz Al-Salemi
Abdullah Al-Jadaani
Havana Solaun
Abdulaziz Al-Qosair
Mohammed Al-Motawaa
Abdulmajeed Al-Ruwaili
Abdurahman Dagriri
Lutfi Al-Rashedi
Abdullah Al-Sobeai
Basem Atallah
No Team*
Sim Sang-min
Katie Barnes
Nasser Al-Sawat
Ahmed Al Attas
Giannis Fetfatzidis
Paul Remedi
Mohammed Majrashi
Kentucky Wildcats baseball team
Ibrahima Nadiya
Jamaan Al-Dossari
Mohammed Attiyah
Víctor Ayala
Ahmed Al-Suhail
Ryan Shakespeare
Lim Min-hyeok
Yousef Hani Ballan
Mohammed Al-Marri
Yves Diba Ilunga
Mohamed Kanno
Saeed Al Saad
Mohamed Fawzi (footballer)
Eisa Al-Saeed
Mohammed Al-Kwikbi
Tracy Webster
Park Jong-woo
Saad Khamis
Ricardo Machado
Sami Al-Najei
Maciej Kot
Ibrahim Diaky
Marwan Al-Haidari
Rashed Malallah
Rafik Halliche
Ahmed Al-Dera
Chris Andre Jespersen
Amierul Hakimi Awang
Abdurahman Al-Rabee
Mohammed Al-Breh
Ali Al Bulaihi
Nora Lewin
Alberto Fernández Sainz
Abdulrahman Mohsen
Jeffrey Kyei
Lynn Bria
Nawaf Al-Otaibi
Max Swartz
Abdullah Al-Salman
Riyadh Al-Ibrahim
Abdoh Hakami
Abdullah Al-Noubi
Caio Lucas Fernandes
Sim Sung-ho
Stipe Žulj
Satea Abdelnasser
Muhammad Irfan Zakaria
Naif Hazazi (footballer, born 1992)
Alef (footballer)
Eisa Shaaban
Dawod Al-Qattan
Henry Immelman
Old Dominion
Katie Antongiovanni
Diana Murgić
Emil Jönsson
Kim Byeom-yong
Claudino Leal Gomes Semedo
Abdulrahim Jumaa
Mohammed Al-Waked
Ahmed Rahmatullah
Sultan Al-Monzeri
s ice hockey
Alexandra Eames
Mohammed Al-Sahali
Jassem Al-Jalabi
Omar Hawsawi
Ahmed Abdoun
Judy Martino
Mohammed Al-Bishi
Ali Al-Shoalah
Fawaz Al-Khaibari
Hamad Al-Juhaini
Muhammad Al Mustaqim Mohd Rizuan
Ignacio Calcagno
Fawaz Fallatah
Abdulaziz Abo Shaqraa
Zachary McNabb
Saleh Bader Al Yazidi
Ali Al-Eid
Omar Al-Muziel
Alexandra Borgia
Meshal Khalaf
Bader Al-Shahrani
Nur Shamie Iszuan Amin
Abdullah Al-Fayhani
Mohammed Al Jabri
Sim Won-sung
Ahmed Al-Fahmi
Christina Bell
Ivan Tomečak
Wasl Al-Thowaibi
Benoît Paillaugue
Hamad Al-Kurbi
Toru Takagiwa
Haitham El-Ashry
Ahmed Al-Akrosh
Abdullah Al-Dossari
an
Kim Nam-chun
Josh Danza
Waleed Mohyaden
Mohammed Salem (footballer, born 1985)
Gilmar da Silva Ribeiro
Olivia Benson
Aboubacarim Ndaw
Mousa Madkhali
Bader Nasser
Takayuki Fukumura
Hussain Al-Nakhli
Nasser Khalfan
Luís Filipe da Rocha Jansen Verdades
Abdurahman Al-Rashidi (footballer, born 1992)
Abdulaziz Al-Bishi
Ahmed Al-Nadhri
Wellington Feliciano
Mitchell Duke
Abdullah Al-Deyani
Joo Hyung-jun
Tomislav Mamić
Abdulaziz Mohammed
David Choinière
Sabah Jadoua
Mohammed Al-Abdooli
Fahad Al-Johani
Zakaria Al-Moqahwi
Thamer Jamal
Arkansas
Sultan Al-Qurairy
Han Kook-young
Michael Brennan
Serena Southerlyn
Ali Saeed Saqer
Abdullah Alawi
Hussain Al-Jassem
Wagner Renan Ribeiro
Ahmed Matar
Hassan Al Qadhi
Joachim Pierre
Kiersten Dallstream
João Diogo Matos Martins
Faisel Al-Dhefiri
Leif Skiöld
Ahmed Jamil
VMI
Mohammed Al-Moeini
Florida Gators baseball team
Alaa Masrahi
Park Yong-woo (footballer)
Ryan Al-Mousa
Tomás O'Leary
Amanda Rollins
Jan Carlsson
Jose Antonio de Segovia
Eric Johanna Omollo
Waleed Hussain
Oldham Athletic
Norwich United
Ahmed Al-Sadah
Paulo Sérgio Betanin
Khalid Kaabi
Mousa Haqawi
Ahmad Khairil Anuar Ahmad Zamri
Muhd Nor Azam Abdul Azih
Ahmed Malallah
Emelie Öhrstig
Majed Al-Marhoum
Marja-Liisa Kirvesniemi Haemaelaeine
champions
Mohamed Al-Akbari
Ali Rabee
Younes Alaiwi
Kélian Galletier
Khalil Sharif
Salem State
Gösta Sandberg
Rami Al-Mosaabi
Gonzalo Rabuñal
Italy
Abdullah Al-Fahad
Dheyab Al-Annabi
Dawood Ali
Adama François Sene
Abdullah Al-Saleh
The Beach at Adventure Landing
Moataz Tombakti
Pilkington XXX
Lassina Diaby
Ricardo de Castro
Bilal Mohammed
Abdulaziz Fallatah
Anders Jacobsen
Salem Al-Khaibari
Mohammed Al-Musained
Rice
Park Jae-hwan
Jesse Sokolow
Salem Al-Wohaimed
Kim Chol-ho (born 1995)
Mahmoud Muaaz
Ahmed Al-Qurashi
RLIF
Mehdi Ballouchy
Talal Al Qahtani
Fadhl Omar
Majed Aman
Abdullah Mousa
Abdulaziz Al-Mansor
Hassan Muath
Jesus Castellon
Sebastián Píriz
ADA Alexandra Cabot
Park Gun-jun
Faisel Majrashi
Ahmad Syihan Hazmi Mohamed
Abdullah Khattab
Johnson Kendrick
Muhammad Syahmi Safari
Stephane Decaris
Paul Willemse
Mazyed Al-Dossari
Ibrahim Al-Shehri
Val Teixeira
Habib Al-Ahmed
Saqer Otaif
Adel Al-Shubaili
Abdulatif Al-Enezi
Ahmed Al-Nufaili
Lindsay Elston
Det. Carolyn Barek
Elliot Stabler
Back Jong-bum
Tina Žeravica
Shannon Gomez
Amiri Kurdi
Fares Al-Harbi
Shoma Kamata
Mile Gavran
Everton Ribeiro
Hassan Al-Shamrani
Glossop
Hamza Sanhaji
Mohammed Shaaban
Sultan Al-Shamsi
Louisiana Tech Bulldogs basketball team
Mousa Al-Shameri
Oldbury Athletic
Rodrigo Alvim
Southern Miss
Hans Johnsson (Swedish footballer)
Ahmed Hamoudi
Manaa Al-Amri
i Ayed
Angelo Jack
Jesse Cardoza
Sayaf Al-Korbi
Mohammed Awaji
Ahmed Al-Ruhaili
Abdulaziz Fadhl
Hamad Ibrahim
Pedro Felgar Diogo da Silva
Qusai Al-Khaibari
Dhowaihi Al-Sahali
Khaled Al-Hamdhi
Makhete Diop
Mohamed Omar (footballer)
Didier Drogba
Fiona-Elizabeth Hughes
Andreas Kuettel
Mohammed Al-Amri
Mohammed Fatehi
Fanini–Maggi Mobili
Nafea Al-Sumairi
Noor Rahman
Philip Barnard
Osama Hawsawi
Drexel University
BYU Cougars baseball team
Adriano (footballer, born 1982)
Cha O-yeon
Abdullah Al Asta
Abdullah Ghanem
Joerg Ritzerfeld
Muteb Al-Mutlaq
Abdullaziz Al-Dawsari
Rene Sommerfeldt
Sardor Rashidov
Abduraheem Abdurahman
Hassan Hamza
Hassan Al-Sandal
Ahmad Soban Hussain
Odd-Bjoern Hjelmeset
Mishel Al-Agmi
Nuno Miguel Baptista Lourenço
Sahow Metlaq
Pretinha
Mohammed Jamal (footballer, born 1994)
Wichita State Shockers
Saeed Al-Bloushi
Abdullah Al-Zori
Muhannad Aziz
Tan Yung Hong
Bonbon-land
Rakhi Al-Shammeri
Kahraba
Muhammad Aqil Irfanuddin Mohd Sabri
Tareq Al-Awwad
Mohammed Enyass
Naif Eisa
Nasser Al-Saiari
Hassan Al-Habib
Foxdale AFC
Ali Al-Sqoor
Younes Yaqoub
Yassin Hamzah
Robin Dex
Muhannad Awadh
Genki Omae
Flixton
Yuji Senuma
Qasem Burhan
Giliardi de Souza
Romeo Charron
Travis Dennis
Mohammed Haythami
Guernsey F.C.
Saif Khalfan
Matt Essig
Heberty Fernandes de Andrade
Jerry Wainwright
Tulsa
Farri Agri
Morad Al-Soudani
Nawaf Al-Mohsen
Muhammad Hazrull Hafiz Zulkifly
Abo Baker Adam
Sami Fedha
Ahmed Assiri (footballer, born 1988)
Majed Al-Khaibari
Dr. George Huang
Camilo Neira
Jefferson Farfán
Yvan Reilhac
Mohd Aliff Izman Sahdan
Primoz Pikl
no
Ahmed Maïga
Mukhtar Fallatah
Lars Lundqvist
Rashid Sumaila
La Sportive
Saeed Al-Robeai
Hussain Al-Sheikh
Khalaf Al-Hosani
Mohammed Assiri
Dayton
Massachusetts Minutewomen
Abdullah Jassem
Salem Khalifah
Nancy Little
Ibrahim Al-Nakhli
Amer Al-Omari
Adriano Alves dos Santos
Turki Al-Aliweh
Álvaro Mejía Pérez
Lee Jun-seo
Humaid Salmeen
Sven Tumba
Khaled Al-Dubaisi
Djamel Benlamri
Ahmed Fahem
Abdullah Al-Sudairy
Abdulellah Al-Amer
Ibrahim Jamal
Makeleta Stephan
Abdulaziz Al-Balawi
Abdoh Besisi
Ismail Mahmoud
Mohammed Rabee
Rayan Dagriri
Marei Al-Moqaadi
Ismael Khaled
Ali Ghloum
Ali Hazazi
Mansor Shawkan
Hadef Saif
Khaled Anber
Hassoun Camara
Diogo Seguro de Matos
Saleh Al-Arfej
Saad Al-Ahbabi
Ali Nasser
Kazakhstan
Diego González
Mubarak Al-Saadi
Georgia 
  founded  =
Mohammed Al-Hammadi
Mohanad Salem
Abdurahman Al-Obaid
Fahad Al-Munaif (footballer, born 1994)
Yousef Ahmed
Khaled Khalaf
Arne Arvidsson
Wesam Al-Sowayed
Sultan Al-Sawadi
Abdusalam Al-Sherif
Brandi Chastain
Bander Dagriri
Waleed Saleh
Yahya Awagi
Abdulmajeed Al-Daeej
Ulises Pascua
Nik Azli Nik Alias
Yazan Naim
James Scott (Costa Rican footballer)
Hani Al-Dhahi
Thomas McNamara (soccer)
Ahmed Ali (footballer, born 1990)
Abdulaziz Al Sulaiti
Saddam Ben Aziza
Gagi Bazadze
Tareq Abdulaziz
Abdulrahman Mesbeh
Khalid Eisa
Illinois
David Araújo e Sá Serras Pereira
Florida Gators baseball
Eithini Marcel Apanda
Kim Jin-kyu
Diogo de Neves Moura da Mota André
Lee Hyun-gu
Enfield
Havant & Leigh Park
Ezequiel Pizzi
Fahad Al-Sobeai
Omar Al-Sohaymi
Fábio Virginio de Lima
European Rugby Champions Cup
Abdullah Malallah
Wojciech Skupień
Ali Jasimi
Southern Mississippi
Saoud Farhan
Khaled Al-Zaidi
Salem Rashid Obaid
Ibrahim Bo Saeed
Hussain Al-Showaish
Romarinho (footballer, born 1990)
Kogileswaran Raj a/l Mohana Raj
Mostafa Crdine
Tássio Maia dos Santos
Kátia
Bromsgrove Rovers
Sultan Ghunaiman
Michel Lagos
Can.
Jason Twum
Robert Stevenson (basketball coach)
Faisel Al-Ahmadi
Ibrahim Al-Shoeil
Eihab Sirelkhatim
Det. Zack Nichols
Conference USA
Ahmed Alaaeldin
Al Hussain Saleh
or Voinea
Ali Al-Hammadi
Rafael Berger
Hattan Bahebri
Robins Tchale-Watchou
James Clarke
Abdulmajeed Al-Dossari
Yousef Al-Malahi
Megan Wheeler
Muhammad Syazwan Andik Mohd Ishak
Carlos de Mendonça Estrela Magalhães Duarte
Ezequiel Mosquera
Nancy Sirmons
Yale
Ismaël Bangoura
Nathan Júnior Soares de Carvalho
Misfer Al-Bishi
FK Brodarac
Yasser Al-Assaf
Muhammad Shahrul Akmal Md Adnan
Ammar Al-Daheem
Amirul Hisyam Awang Kechik
Rodrigo García (cyclist)
Yale Bulldogs
Ahmed Mubarak
Ignacio Piatti
Mohammed Al-Qathami
Abdusalam Masroor
Ahmed Al-Muwallad
Abdulaziz Ali
Kohei Hattanda
Matti Hautamaeki
Saeed Hazzam
Ali Al-Hafidh
Ulf Schramm
Khaled Al-Barakah
Majed Hazzazi
Saif Rashid
Mazen Abo Shararah
Yousef Hassan
Amer Haroon
Eastwood Town
Beverly Yanez
Abdurahman Bakhit
Armata e Veriut
Detective Serena Stevens
Ahmed Yaslam
Timoci Nagusa
Ibrahim Al-Hafidh
Abdurahman Al-Huraib
Abdulaziz Motouali
Hitchin Blue Cross
Kim Won-gun
Fin Tutuola
Moataz Al-Musa
Ilford
Joe Tomane
Spencer Williams
Roshan Vishwanath
Younes Ali
Amer Jahfali
Hocine Ragued
Talal Shelah
Meshaal Al-Humaidi
Paul Robinette
João Carlos Pinto Chaves
Michael Phillips
Duhan van der Merwe
Abdulkarim Abker
Jehad Al Baour
Mohammed Al-Ashwan
Ahmed Hisham
Ahmed Jassem
Abdushakor Hawsawi
Yannick Sagbo
Rashed Muhayer
Sebastián Sáez
Eastern Illinois Panthers baseball
Jack McCoy
Fernando Guimaraes
Abdullah Shuhail
Koh Myong-jin
Khalifa Ababacar
Paul Bunyan Land
Shin Seong-jae
Bentley Falcons
Lady Heather
Jeon Woo-ram
Ko Kwang-min
Fayez Jumaa
Issa Al-Sabah
Stetson
Joffrey Michel
Ahmed Al-Shehri
Antoine Guillamon
Ahmed Salem
Cristian Barbu
Muhammad Rizalul Azuwan Supandri
Jugurtha Hamroun
El Hadji Malick Samba
Ali Khormi
Duncan Corbett
Yelina Salas
Abdulaziz Al-Aryani
Ibrahim Al-Shelih
Yasser Al-Shahrani
VMI Keydets basketball
Mohammed Salem Al-Mal
Archie Johnson
Dawid Kubacki
Mohammed Al-Khamis
Ahmed Al-Nahwi
Zamil Al-Sulim
Mohammed Al-Khethiri
Khaled Al-Aboud
Abdurahman Al-Harthi
Adel Bader
Nasser Mohammed
Hossam Al-Jadaani
Salem Abdulla
Walthamstow Avenue
Shahin Abdulrahman
Salem Thani
Mohammed Salah Al-Neel
Petter L. Tande
Mohammad Fitri Amani Ismail
Vivien Assie Koua
Kyle Harmon
FC Alga Bishkek
Eisa Al-Otaibah
Rachel Corsie
Hamad Al-Hamad
Eisa Ahmed
Old Dominion Monarchs basketball
Yousef Al Zaabi
Sultan Al-Bishi
Ethan White
Abdulkareem Al-Shameri
Yasser Al-Fahmi
Tara Price
Mourad Batna
Luc Reyter
François Steyn
Kamel Al-Mousa
Julien Delannoy
Mikael Martinsson
Det. Kevin Bernard
Frank Lampard
Mohammed Rawaf
Massachusetts
Eddie Anderson (American football coach)
Kwak Tae-hwi
Mohammed Jahfali
Fayz Al-Sabiay
Hamdan Al-Kamali
Sebastian Soria
Francio Henry
Nabil Djerroud
Jadaan Mohanna
loan2
Talal Al-Shamali
Abdulaziz Haikal
Venezuela
Ali Al-Khaibari
Haroon Eisa
Hassan Ameen
Mohamed Tiaïba
Mohammed Ali Ayed
Nicolas "Nick" Amaro
Wan Rohaimi Wan Rahasdi
Mike Davis
Godalming & Farncombe United
Alexander López
LaKeysia Beene
Ismail Matar
Kumaahran Sathasivam
Naif Al-Harthi
Marwan Abker
Mohamed El-Sayed
Mustafa Malayekah
Radhi Al-Mutairi
Mohammed Khalfan
Mohammed Al-Towil
Sami Al-Khaibari
Tameem Al-Muhizea
Federico Bravo
Ben Stone
Seo Hwi
Olle Hellström
Meshal Al-Shammeri
Dario Agostino Pale
Yasser Al-Dhamri
Yousef Khamis
Atala
Meqren Al-Muqairen
Nabeel Anwer
Jannie du Plessis
Florida Gators softball
Dejan Jaković
Norton United
Raed Al-Ghamdi
Hossam Al-Harthi
Mohammed Yaqoub
John Snyder
Abdulellah Al-Malki
Franco Donado
Kim Woo-chul
Mohammed Ali Omar
Tom Christiansen
Marwan Al-Johani
Hazem Mostafa
Morad Al-Rashidi
Ali Khamis
Mohammed Al-Zakrouti
Steven Munn
Helal Mohammed
Hamad Al-Bloushi
Khalil Ibrahim (footballer)
Ahmed Al-Hafidh
Ahmad Khalfan
Merthyr Tydfil
Hassan Al-Hafidh
Abduraheem Al-Debbas
Bethesda Big Train
Najeeb Al-Jasmi
Abdullah Al-Owaishir
Luiz Martin Carlos Júnior
Adil Hermach
Humaid Abdulla Abbas
Abdullah Mohammed
Abdulrahim Jaizawi
Daniel Davies
Paal Gunnar Mikkelsplass
Simeon Hamilton
Elli Reed
Yasser Salem
Ali Sadeq
Adel Alawi
Mohammed Faidh Itshi
Hossam Kamal
Clark University
Khaled Khalvan
Det. Cyrus Lupo
Mohd Faisal Abdul Halim
Majed Naser
Muteb Majrashi
Mohammed Al-Fuhaid
Abdulaziz Hamsal
